"","V1","V2","V3","V4","V5","V6","V7","FY","CY"
"20",742.281083479535,8130.27896696984,4258.13461865545,14218.8771462527,3266.23023407597,0.102832394438799,449.849822593823,2006,2006
"21",243.074431813747,12903.4006245706,2465.27420095229,13642.102577396,1322.83736026305,0.227265030768495,145.202886603577,2006,2006
"22",147.382188505357,7602.12312191496,3754.27527562855,17293.7349284924,1739.70072918991,0.854554667171651,80.2309223865266,2007,2006
"23",83.6399800484229,3842.42886673276,2650.83920796418,29028.8768743272,2984.16708468162,2.01144862721266,28.8999091072495,2007,2006
"24",104.790445786651,4152.6117635646,937.578825558926,47816.1723350465,1041.4161789661,4.66022346087972,12.8907017844601,2007,2006
"25",154.267018100152,5813.37728558882,299.643932214031,28368.3776002696,310.254079619681,7.83077364571121,8.4060394895994,2007,2007
"26",445.459058844117,2733.99775539331,334.662664696312,12342.4697789697,295.453137172107,23.0884112412987,19.0827534894571,2007,2007
"27",1302.84095292926,1854.5582714068,746.90450237686,5691.51080368826,601.70151692078,67.7352343193469,53.5431931683105,2007,2007
"28",5567.03432029116,4082.17537497824,3046.44468973883,5296.60160475797,2406.89488533706,289.562649805618,227.370669253035,2008,2007
"29",13194.3238831848,8345.75703430292,7170.13005643842,5971.94702808718,5647.73771947173,686.33208348474,538.395975130211,2008,2007
"30",3122.95070715292,2292.92541917237,5329.1157744747,8093.7183560582,1731.0522545019,1108.42214586558,140.60758324594,2008,2007
"31",932.442300204783,1312.25915846082,4672.36791698954,13271.8103207253,1296.11869290462,2200.5285928433,68.021069416819,2008,2008
"32",1088.71895342984,1784.94866031732,4796.2565796601,27106.1433212866,3241.46308706672,14614.8826657331,247.187462597332,2008,2008
"33",779.858251000354,1754.05715872267,2195.51750202226,10656.6586281298,1338.99278600352,5047.80736935595,492.66377082017,2008,2008
"34",1118.16083982683,2975.01531556489,1948.11054067146,6804.19681010317,968.862638382406,1992.5782375632,1011.73718784114,2009,2008
"35",4420.87101543227,12178.1786771371,6617.65128679167,19240.3990366648,2970.93895425854,3136.81638756755,4276.13317100301,2009,2008
"36",7190.31790086616,19914.1119477361,10484.3777481606,29323.4898495233,4611.02920270249,3882.71685823723,7025.88690414128,2009,2008
"37",1632.16695011022,4861.8645687565,3386.41421141407,8596.47355929475,1235.7140258476,5751.21848853804,1600.44436464793,2009,2009
"38",984.327351774577,4342.33276091433,6199.21629025857,9520.25373436061,767.756706819219,3466.20711982777,988.334435627638,2009,2009
"39",555.422788417964,3756.34868410724,9358.53904062945,10528.565785701,519.81768299758,1947.25842662113,646.651311850292,2009,2009
"40",166.882446516994,3714.71044706175,4394.25203998326,13373.364834708,327.647177313057,568.034873010492,370.446278144399,2010,2009
"41",60.9034616129879,6435.21791523404,4711.77272535117,24934.8435266013,456.3590861135,173.835951306968,481.191845938784,2010,2009
"42",38.6300917291153,10464.8025379402,7794.65665830691,49656.854485109,810.23191015403,58.5106983508311,840.22946868735,2010,2009
"43",92.2403931128783,10928.5982493048,7415.7206327206,16383.6388352095,433.410209848653,63.3346069158144,428.801678032344,2010,2010
"44",346.554349311869,8346.27582953593,8373.14440336518,11343.6092013139,392.022930438844,175.054354019494,311.925023057777,2010,2010
"45",625.188602490765,3533.72648747643,2880.26830659121,6270.58476937745,357.733071094686,298.020413912465,195.488074051378,2010,2010
"46",1552.57055312207,4555.38508505477,2675.54021328128,10374.0175930971,760.389134857414,733.581390997038,350.976153872111,2011,2010
"47",7542.32593543423,19134.064277234,9819.36214821007,46706.4951298521,3603.0804796933,3559.08668724715,1609.55449477872,2011,2010
"48",5829.21091229124,33200.955992481,20346.0482611432,70868.9864177882,7438.60723309624,1236.393647225,3776.73476547698,2011,2010
"49",802.977182444833,6657.6880006641,6594.29813776105,16985.3236240164,1855.69936188777,176.189309880102,525.7070895386,2011,2011
"50",515.776349479018,4873.97469551757,4217.6214017102,16706.675862735,1555.37968984612,137.923137180614,360.677735158515,2011,2011
"51",216.219527321066,3356.75290770068,1728.30157240908,9120.16129295553,822.527103190442,112.228016442756,201.759935230175,2011,2011
