"","V1","V2","V3","V4","V5","V6","V7","C1","C2","C3","C4","C5","C6","C7","FY","CY"
"65",65541.1128534918,2459839.34873505,14616866.1058615,1198848.12892379,3143257.33316177,0,1082967.26141632,255.804761904762,2579.65524956971,7791.05525839622,1541.00218014917,2904.92926872324,0,1035.56626506024,2014,2013
"66",8229.7569948952,1886137.09652165,3928714.1861412,782968.280592808,0,0,20289.7557319179,90.3670886075949,2013.70737355202,3782.29948118513,1675.3105466986,0,0,189.855074380165,2014,2013
"67",106414.769642847,103639.448120774,1127929.18981548,13544569.6654535,0,0,0,325.246753246753,325.246753246753,1716.54275324675,5127.14434632035,0,0,0,2014,2014
"68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,2014
"69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,2014
"70",0,0,151714.785997799,0,0,0,0,0,0,531.970954356847,0,0,0,0,2015,2014
"71",0,0,0,230913.977753986,0,0,0,0,0,0,483.651162790698,0,0,0,2015,2014
"72",708826.537276135,8198165.82671791,80835810.2214211,1364779.67775502,17739665.6501355,0,0,841.918367346939,5177.79591836735,10413.4770408163,1536.5,4209.59183673469,0,0,2015,2014
"73",0,9400081.07865518,89378.8972436262,943170.673530877,22344.7243109065,627141.617037841,89378.8972436262,0,4563.97140454163,298.60162601626,1099.16288197365,149.30081300813,1401.86526978493,298.60162601626,2015,2015
"74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,2015
"75",34357.4457699224,201116.320847645,8054008.92636559,2355127.74324157,137429.783079689,0,0,185.35761589404,701.184505021521,5015.64992826399,1998.68445656408,370.715231788079,0,0,2015,2015
"76",0,15710.8465359349,0,1272578.56941073,769831.48026081,0,0,0,125.739316239316,0,1131.65384615385,880.175213675214,0,0,2016,2015
"77",0,133085.604016573,3724424.24345165,3045372.16254802,0,0,0,0,516.818681318681,2365.32005494505,1753.375,0,0,0,2016,2015
"78",0,18648.4531415988,195814.811394242,3204702.53418185,0,0,0,0,136.376470588235,545.505882352941,3025.85294117647,0,0,0,2016,2015
"79",0,241603.338958431,235473.052346348,1064290.46088119,0,0,0,0,689.588697017268,864.585785953177,1415.93369565217,0,0,0,2016,2016
"80",8344.08722675559,0,33376.3489070224,506562.214650958,183269.61,0,0,91.0851063829787,0,182.170212765957,1054.31010638298,428.1,0,0,2016,2016
