Estimate Status,Year,Wave,Common Name,Fishing Mode,Fishing Area,Total Harvest (A+B1),PSE,Harvest (A+B1) Total Weight (lb),PSE,Landings (no.) without Size Information,** Contribution of Imputed Data to Total Harvest Rate,** Contribution of Imputed Data to Total Harvest Rate
FINAL,2012,SEPTEMBER/OCTOBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),101,100.2,0,.,101,0%,0%
FINAL,2012,SEPTEMBER/OCTOBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),112,99.6,516,.,0,0%,0%
FINAL,2012,NOVEMBER/DECEMBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),7615,88.1,20397,88.2,0,0%,0%
FINAL,2013,JANUARY/FEBRUARY,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),229,100,0,.,229,0%,0%
FINAL,2013,MARCH/APRIL,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),164,100,0,.,164,0%,0%
FINAL,2013,MARCH/APRIL,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),328,100,0,.,328,0%,0%
FINAL,2013,JULY/AUGUST,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),200,100.1,0,.,200,0%,0%
FINAL,2013,SEPTEMBER/OCTOBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1036,100.5,3653,100.5,0,0%,0%
FINAL,2013,NOVEMBER/DECEMBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),190,70.5,0,.,190,0%,0%
FINAL,2014,SEPTEMBER/OCTOBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),166,100.1,0,.,166,0%,0%
FINAL,2015,JANUARY/FEBRUARY,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),301,100.1,597,.,0,0%,0%
FINAL,2015,NOVEMBER/DECEMBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1407,99.5,0,.,1407,0%,0%
FINAL,2016,JULY/AUGUST,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),123,100.3,0,.,123,0%,0%
FINAL,2016,SEPTEMBER/OCTOBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),115,100.1,0,.,115,0%,0%
FINAL,2017,JANUARY/FEBRUARY,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),192,100.2,337,100.1,0,0%,0%
FINAL,2017,JANUARY/FEBRUARY,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),203,99.6,355,99.9,0,0%,0%
FINAL,2017,MARCH/APRIL,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),254,79.2,504,.,0,0%,0%
FINAL,2017,JULY/AUGUST,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),122,100.1,100,.,0,0%,0%
FINAL,2017,NOVEMBER/DECEMBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),149,100,0,.,149,0%,0%
FINAL,2018,JANUARY/FEBRUARY,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1170,100,0,.,1170,0%,0%
FINAL,2018,SEPTEMBER/OCTOBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),381,100.1,1211,.,0,0%,0%
FINAL,2018,NOVEMBER/DECEMBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),600,100.1,1309,.,0,0%,0%
FINAL,2019,JANUARY/FEBRUARY,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),6741,89.2,0,.,6741,0%,0%
FINAL,2019,MARCH/APRIL,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),808,100.1,0,.,808,0%,0%
FINAL,2019,MAY/JUNE,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),205,100.2,0,.,205,0%,0%
FINAL,2019,SEPTEMBER/OCTOBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),3921,72.3,11755,.,0,0%,0%
FINAL,2019,NOVEMBER/DECEMBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),7962,78.2,0,.,7962,0%,0%
FINAL,2019,NOVEMBER/DECEMBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),757,99.3,6054,.,0,0%,0%
FINAL,2020,MARCH/APRIL,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),311,100.1,0,.,311,100%,0%
FINAL,2020,MAY/JUNE,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),181,100.1,0,.,181,100%,0%
FINAL,2020,SEPTEMBER/OCTOBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),2522,58.2,5170,.,0,0%,0%
FINAL,2020,NOVEMBER/DECEMBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1985,76,5032,.,0,0%,0%
FINAL,2021,JANUARY/FEBRUARY,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),516,70.9,734,71.7,0,0%,0%
FINAL,2021,JANUARY/FEBRUARY,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),266,100.1,386,100.1,0,0%,0%
FINAL,2021,JULY/AUGUST,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),457,100.1,0,.,457,0%,0%
FINAL,2021,NOVEMBER/DECEMBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1057,72,0,.,1057,0%,0%
PRELIMINARY,2022,JANUARY/FEBRUARY,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1897,74.9,0,.,1897,0%,0%
PRELIMINARY,2022,JANUARY/FEBRUARY,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),3830,85.2,0,.,3830,0%,0%
PRELIMINARY,2022,MARCH/APRIL,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),754,100,0,.,754,0%,0%
PRELIMINARY,2022,JULY/AUGUST,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),2574,100.1,0,.,2574,0%,0%
FINAL,2004,SEPTEMBER/OCTOBER,IRONJAW SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),10021,74.5,0,.,10021,0%,0%
FINAL,2005,NOVEMBER/DECEMBER,IRONJAW SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1761,100,0,.,1761,0%,0%
FINAL,2007,JANUARY/FEBRUARY,IRONJAW SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),239,100,3587,.,0,0%,0%
FINAL,2007,SEPTEMBER/OCTOBER,IRONJAW SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),330,100.3,3632,.,0,0%,0%
FINAL,2008,MARCH/APRIL,IRONJAW SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1855,100,0,.,1855,0%,0%
FINAL,2009,JANUARY/FEBRUARY,IRONJAW SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),697,99.5,3886,.,0,0%,0%
FINAL,2010,SEPTEMBER/OCTOBER,IRONJAW SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),417,100,0,.,417,0%,0%
FINAL,2011,JANUARY/FEBRUARY,IRONJAW SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),271,100,0,.,271,0%,0%
FINAL,2012,JANUARY/FEBRUARY,IRONJAW SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),440,100.1,0,.,440,0%,0%
FINAL,2013,MAY/JUNE,IRONJAW SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),148,99.3,0,.,148,0%,0%
FINAL,2013,NOVEMBER/DECEMBER,IRONJAW SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),187,100.1,0,.,187,0%,0%
FINAL,2015,JANUARY/FEBRUARY,IRONJAW SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1259,60.3,0,.,1259,0%,0%
FINAL,2015,JANUARY/FEBRUARY,IRONJAW SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),157,100.1,1403,.,0,0%,0%
FINAL,2016,NOVEMBER/DECEMBER,IRONJAW SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),721,71.5,0,.,721,0%,0%
